prognosis;symptoms
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Pneumonia;chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum
Psoriasis;skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
AIDS;muscle_wasting,patches_in_throat,high_fever
Varicose veins;fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Hypoglycemia;vomiting,fatigue,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
Hepatitis D;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Chronic cholestasis;fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain
Impetigo;skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Impetigo;high_fever,blister,red_sore_around_nose,yellow_crust_ooze
Pneumonia;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain
Psoriasis;skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain
Alcoholic hepatitis;itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain
Jaundice;itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
Paralysis (brain hemorrhage);vomiting,headache,weakness_of_one_body_side,altered_sensorium
Allergy;continuous_sneezing,chills,watering_from_eyes
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Acne;skin_rash,pus_filled_pimples,blackheads
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
Hepatitis D;joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,abdominal_pain,yellowing_of_eyes
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Migraine;joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Diabetes ;fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Hypertension ;headache,chest_pain,loss_of_balance,lack_of_concentration
Malaria;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Gastroenteritis;vomiting,dehydration,diarrhoea
Drug Reaction;skin_rash,stomach_pain,burning_micturition,spotting_ urination
Dimorphic hemmorhoids(piles);constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Varicose veins;fatigue,cramps,bruising,obesity,swollen_blood_vessels,prominent_veins_on_calf
Hepatitis E;joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding
Fungal infection;itching,skin_rash,dischromic _patches
Hypertension ;headache,chest_pain,loss_of_balance,lack_of_concentration
Heart attack;vomiting,sweating,chest_pain
AIDS;muscle_wasting,high_fever,extra_marital_contacts
Dengue;skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Dengue;skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Malaria;chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain
Chronic cholestasis;itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Chicken pox;itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body
(vertigo) Paroymsal  Positional Vertigo;vomiting,headache,nausea,spinning_movements,unsteadiness
Malaria;chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Psoriasis;skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails
Fungal infection;itching,skin_rash,dischromic _patches
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Hepatitis B;itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination
Urinary tract infection;bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
hepatitis A;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Paralysis (brain hemorrhage);vomiting,headache,weakness_of_one_body_side,altered_sensorium
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Osteoarthristis;joint_pain,neck_pain,hip_joint_pain,swelling_joints,painful_walking
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances
Alcoholic hepatitis;vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Hepatitis B;itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Hypertension ;headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration
Drug Reaction;yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Bronchial Asthma;fatigue,high_fever,breathlessness,family_history,mucoid_sputum
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Urinary tract infection;burning_micturition,foul_smell_of urine,continuous_feel_of_urine
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Arthritis;muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking
Hypothyroidism;fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Hypoglycemia;continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
Acne;skin_rash,pus_filled_pimples,blackheads
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
Impetigo;skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Hyperthyroidism;fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation
Arthritis;muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Allergy;continuous_sneezing,shivering,chills
Common Cold;continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
Gastroenteritis;vomiting,sunken_eyes,dehydration
Heart attack;breathlessness,sweating,chest_pain
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination
Peptic ulcer diseae;indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
hepatitis A;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Urinary tract infection;burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
Tuberculosis;chills,vomiting,fatigue,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Allergy;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hepatitis D;joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,yellowing_of_eyes
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Hepatitis C;fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Common Cold;chills,fatigue,cough,high_fever,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
AIDS;patches_in_throat,high_fever,extra_marital_contacts
Chronic cholestasis;vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hyperthyroidism;fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation
Cervical spondylosis;back_pain,neck_pain,dizziness,loss_of_balance
hepatitis A;joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,loss_of_balance
Chronic cholestasis;vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Heart attack;vomiting,sweating,chest_pain
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Chronic cholestasis;vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Acne;skin_rash,pus_filled_pimples,blackheads
Hepatitis B;fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
GERD;stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
(vertigo) Paroymsal  Positional Vertigo;patches_in_throat,high_fever,extra_marital_contacts
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Chronic cholestasis;itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hypothyroidism;weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation
Jaundice;itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
Jaundice;itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Malaria;vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain
Hepatitis B;itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Chicken pox;itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Acne;skin_rash,pus_filled_pimples,blackheads
Dimorphic hemmorhoids(piles);constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus
Hepatitis D;joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hypoglycemia;vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
Bronchial Asthma;cough,high_fever,breathlessness,family_history,mucoid_sputum
Impetigo;skin_rash,high_fever,blister,yellow_crust_ooze
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Allergy;shivering,chills,watering_from_eyes
Malaria;chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain
Jaundice;itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
Impetigo;skin_rash,high_fever,blister,red_sore_around_nose
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Diabetes ;fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances
hepatitis A;vomiting,sunken_eyes,dehydration,diarrhoea
Dengue;vomiting,dehydration,diarrhoea
Allergy;continuous_sneezing,shivering,watering_from_eyes
Hyperthyroidism;fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation
Hepatitis B;itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Hepatitis D;joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hepatitis C;fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Malaria;chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain
Diabetes ;fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Hypoglycemia;vomiting,fatigue,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
Osteoarthristis;neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking
Diabetes ;fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Varicose veins;fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain
Impetigo;skin_rash,high_fever,blister,red_sore_around_nose
Hepatitis D;joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Allergy;shivering,chills,watering_from_eyes
Common Cold;muscle_wasting,patches_in_throat,high_fever
Acne;pus_filled_pimples,blackheads,scurring
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Acne;skin_rash,pus_filled_pimples,blackheads,scurring
Pneumonia;chills,fatigue,cough,high_fever,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Common Cold;chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
Malaria;chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain
Chicken pox;itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
hepatitis A;joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Jaundice;itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain
hepatitis A;vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
(vertigo) Paroymsal  Positional Vertigo;vomiting,headache,spinning_movements,loss_of_balance,unsteadiness
Hepatitis E;itching,skin_rash,dischromic _patches
Hypertension ;headache,chest_pain,dizziness,lack_of_concentration
Allergy;continuous_sneezing,chills,watering_from_eyes
Hypothyroidism;fatigue,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation
Impetigo;skin_rash,high_fever,blister,red_sore_around_nose
Hepatitis E;joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Varicose veins;cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
Hypertension ;headache,chest_pain,dizziness,loss_of_balance
Hepatitis D;joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hypoglycemia;sunken_eyes,dehydration,diarrhoea
Dimorphic hemmorhoids(piles);constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus
Drug Reaction;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
Hypothyroidism;weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body
Paralysis (brain hemorrhage);vomiting,headache,weakness_of_one_body_side,altered_sensorium
Hepatitis B;fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain
Fungal infection;itching,skin_rash,dischromic _patches
Hyperthyroidism;fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Diabetes ;fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Varicose veins;fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf
GERD;stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
Paralysis (brain hemorrhage);vomiting,headache,altered_sensorium
Pneumonia;chills,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Arthritis;muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness
Heart attack;vomiting,breathlessness,chest_pain
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes
Impetigo;skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze
Hepatitis B;itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Hyperthyroidism;fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation
Jaundice;itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances
Peptic ulcer diseae;vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching
Tuberculosis;chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Common Cold;continuous_sneezing,chills,fatigue,cough,high_fever,headache,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Psoriasis;skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails,inflammatory_nails
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum
Dimorphic hemmorhoids(piles);constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus
Psoriasis;skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
Alcoholic hepatitis;vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Typhoid;chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,family_history
Pneumonia;chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Hepatitis E;joint_pain,vomiting,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding
Arthritis;muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
Hepatitis D;joint_pain,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
hepatitis A;joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Cervical spondylosis;weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Jaundice;itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
Hypertension ;headache,chest_pain,dizziness,loss_of_balance
Osteoarthristis;joint_pain,neck_pain,knee_pain,swelling_joints,painful_walking
Malaria;chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain
